
%NQSII(INFO): ------- Output from job:0000 -------
       1.124s 0001 Spinup Function norm 2.228472721859e+01
       1.105s 0002 Spinup Function norm 1.286500993446e+01
       1.139s 0000 Spinup Function norm 4.328962677595e+01
       1.145s 0001 Spinup Function norm 2.228472721859e+01
       1.126s 0002 Spinup Function norm 1.286500993446e+01
       1.134s 0000 Spinup Function norm 4.328962677595e+01
       1.170s 0001 Spinup Function norm 2.228472721859e+01
       1.114s 0002 Spinup Function norm 1.286500993446e+01
       1.108s 0000 Spinup Function norm 4.328962677595e+01
       1.117s 0001 Spinup Function norm 2.228472721859e+01
       1.104s 0002 Spinup Function norm 1.286500993446e+01
       1.102s 0000 Spinup Function norm 4.328962677595e+01
       1.113s 0001 Spinup Function norm 2.228472721859e+01
       1.096s 0002 Spinup Function norm 1.286500993446e+01
       1.086s 0000 Spinup Function norm 4.328962677595e+01
       1.098s 0001 Spinup Function norm 2.228472721859e+01
       1.079s 0002 Spinup Function norm 1.286500993446e+01
       1.094s 0000 Spinup Function norm 4.328962677595e+01
       1.097s 0001 Spinup Function norm 2.228472721859e+01
       1.087s 0002 Spinup Function norm 1.286500993446e+01
       1.092s 0000 Spinup Function norm 4.328962677595e+01
       1.092s 0001 Spinup Function norm 2.228472721859e+01
       1.089s 0002 Spinup Function norm 1.286500993446e+01
       1.089s 0000 Spinup Function norm 4.328962677595e+01
       1.080s 0001 Spinup Function norm 2.228472721859e+01
       1.095s 0002 Spinup Function norm 1.286500993446e+01
       1.088s 0000 Spinup Function norm 4.328962677595e+01
       1.074s 0001 Spinup Function norm 2.228472721859e+01
       1.089s 0002 Spinup Function norm 1.286500993446e+01
       1.069s 0000 Spinup Function norm 4.328962677595e+01
       1.063s 0001 Spinup Function norm 2.228472721859e+01
       1.079s 0002 Spinup Function norm 1.286500993446e+01
       1.070s 0000 Spinup Function norm 4.328962677595e+01
       1.062s 0001 Spinup Function norm 2.228472721859e+01
       1.084s 0002 Spinup Function norm 1.286500993446e+01
       1.080s 0000 Spinup Function norm 4.328962677595e+01
       1.066s 0001 Spinup Function norm 2.228472721859e+01
       1.073s 0002 Spinup Function norm 1.286500993446e+01
       1.067s 0000 Spinup Function norm 4.328962677595e+01
       1.060s 0001 Spinup Function norm 2.228472721859e+01
       1.066s 0002 Spinup Function norm 1.286500993446e+01
       1.066s 0000 Spinup Function norm 4.328962677595e+01
       1.052s 0001 Spinup Function norm 2.228472721859e+01
       1.055s 0002 Spinup Function norm 1.286500993446e+01
       1.068s 0000 Spinup Function norm 4.328962677595e+01
       1.052s 0001 Spinup Function norm 2.228472721859e+01
       1.041s 0002 Spinup Function norm 1.286500993446e+01
       1.080s 0000 Spinup Function norm 4.328962677595e+01
       1.071s 0001 Spinup Function norm 2.228472721859e+01
       1.065s 0002 Spinup Function norm 1.286500993446e+01
       1.060s 0000 Spinup Function norm 4.328962677595e+01
       1.055s 0001 Spinup Function norm 2.228472721859e+01
       1.058s 0002 Spinup Function norm 1.286500993446e+01
       1.034s 0000 Spinup Function norm 4.328962677595e+01
